date,symbol,side,currency,underlying,asset_type,price,quantity,commission,fees,tags,notes,spread_id
2022-03-11T11:40:21-0500,ESM22,buy,USD,ES,future,4248.5,3,1.41,0,,,Jjyljusp
2022-03-11T11:40:22-0500,ESM22,buy,USD,ES,future,4248.5,3,6.15,0,,,Jjyljusp
2021-10-08T11:22:33-0400,"GSPC Oct 13, 2021 4150.00 PUT",sell,USD,GSPC,index_option,1,1,1,1.18,Vertical Bull Put,,wN1I6Ect
2021-10-06T12:59:24-0400,"GSPC Oct 13, 2021 4150.00 PUT",buy,USD,GSPC,index_option,3.8,1,0,0,Vertical Bull Put,,wN1I6Ect
2021-10-08T11:22:33-0400,"GSPC Oct 13, 2021 4190.00 PUT",buy,USD,GSPC,index_option,1.45,1,0,0,Vertical Bull Put,,wN1I6Ect
2021-10-06T12:59:24-0400,"GSPC Oct 13, 2021 4190.00 PUT",sell,USD,GSPC,index_option,6.2,1,1,1.18,Vertical Bull Put,,wN1I6Ect
2020-05-12T10:32:07-0400,VEA,sell,USD,VEA,stock,35.96,10,0,0.02,SWING-TRADE,,XfAmQWZp
2020-03-17T10:22:39-0400,VEA,buy,USD,VEA,stock,30.25,10,0,0.01,SWING-TRADE,,XfAmQWZp
2021-04-01T09:42:16-0400,"PTON Apr 16, 2021 115.00 CALL",sell,USD,PTON,stock_option,7.6,2,2,0.07,,,xgFrqQyg
2021-04-14T11:26:11-0400,"PTON Apr 16, 2021 115.00 CALL",buy,USD,PTON,stock_option,4.35,2,1,0.03,,,xgFrqQyg
2021-03-30T15:38:37-0400,"PTON Apr 09, 2021 113.00 CALL",sell,USD,PTON,stock_option,1.94,2,1,0.04,,,xgFrqQyg
2021-04-01T09:42:16-0400,"PTON Apr 09, 2021 113.00 CALL",buy,USD,PTON,stock_option,7.3,2,0,0,,,xgFrqQyg
2021-12-18T14:22:00-0500,GM,buy,USD,GM,stock,54.3,200,0,0,STRATEGY-1,,YFynOjVw
2021-12-29T10:33:32-0500,GM,sell,USD,GM,stock,58,200,0,0,STRATEGY-1,,YFynOjVw
2020-03-19T11:05:35-0400,"SPY Apr 17, 2020 185.00 PUT",buy,USD,SPY,stock_option,5.35,1,1,0.14,,,yHyPSVs6
2020-03-19T11:11:22-0400,"SPY Apr 17, 2020 185.00 PUT",sell,USD,SPY,stock_option,5.5,1,0,0.16,,,yHyPSVs6
