成交时间	证券代码	业务名称	证券名称	成交数量	成交均价	成交金额	合同编号	成交日期	真实操作	
11:26:37	603598	证券卖出	引力传媒	100	24.700	2470.000	NS531846	20241216	0	
13:51:09	588200	证券买入	科创芯片ETF	37900	1.463	55447.700	NS528785	20241213	0	
13:40:20	002155	证券买入	湖南黄金	1700	18.230	30991.000	NS723215	20241213	0	
11:21:44	002456	证券卖出	欧菲光	500	13.520	6760.000	NS722474	20241213	0	
10:08:33	600506	证券买入	统一股份	100	22.720	2272.000	NS527168	20241213	0	
10:00:36	002155	证券买入	湖南黄金	1000	18.270	18270.000	NS721010	20241213	0	
09:54:18	603598	证券买入	引力传媒	100	23.370	2337.000	NS526816	20241213	0	
09:30:33	600506	证券卖出	统一股份	4400	23.102	101647.000	NS525831	20241213	0	
14:33:07	600506	证券买入	统一股份	4400	17.300	76120.000	NS514217	20241209	0	
11:24:56	600506	证券卖出	统一股份	4400	17.170	75548.000	NS513335	20241209	0	
13:40:50	600506	证券买入	统一股份	3100	18.501	57352.000	NS510430	20241206	0	
13:40:33	588200	证券卖出	科创芯片ETF	39100	1.472	57555.200	NS510427	20241206	0	
13:39:59	600506	证券买入	统一股份	300	18.450	5535.000	NS510421	20241206	0	
10:43:19	588200	证券买入	科创芯片ETF	28100	1.462	41082.200	NS509488	20241206	0	
10:33:26	588200	证券买入	科创芯片ETF	10000	1.454	14540.000	NS500264	20241203	0	
10:04:02	588200	证券买入	科创芯片ETF	10000	1.464	14640.000	NS499821	20241203	0	
14:55:39	588200	证券卖出	科创芯片ETF	10000	1.478	14780.000	NS498870	20241202	0	
13:10:05	588200	证券买入	科创芯片ETF	10000	1.470	14700.000	NS496807	20241202	0	
09:42:46	600506	证券买入	统一股份	1000	15.200	15200.000	NS496791	20241202	0	
09:38:30	588200	证券买入	科创芯片ETF	10000	1.431	14310.000	NS491305	20241128	0	
09:59:35	603596	证券卖出	伯特利	2500	42.710	106775.000	NS489160	20241127	0	
09:32:09	588200	证券买入	科创芯片ETF	9100	1.406	12794.600	NS484630	20241125	0	
11:26:24	600506	证券卖出	统一股份	800	14.930	11944.000	NS478089	20241120	0	
09:43:45	600506	证券买入	统一股份	800	13.520	10816.000	NS475102	20241119	0	
09:42:39	002456	证券买入	欧菲光	500	15.160	7580.000	NS648965	20241119	0	
09:33:52	002456	证券卖出	欧菲光	500	14.800	7400.000	NS648682	20241119	0	
11:13:41	001309	证券买入	德明利	200	82.230	16446.000	NS647552	20241118	0	
09:37:34	603598	证券卖出	引力传媒	700	14.620	10234.000	NS472967	20241118	0	
14:09:53	601628	证券卖出	中国人寿	300	45.497	13649.000	NS465704	20241112	0	
10:14:46	603596	证券买入	伯特利	800	52.430	41944.000	NS464757	20241112	0	
09:35:49	002456	证券买入	欧菲光	500	16.700	8350.000	NS633168	20241111	0	
09:31:30	603596	证券买入	伯特利	500	50.670	25335.000	NS461806	20241111	0	
10:19:53	603598	证券买入	引力传媒	700	15.800	11060.000	NS460027	20241108	0	
10:07:02	603596	证券买入	伯特利	1000	50.760	50760.000	NS459908	20241108	0	
10:03:47	601628	证券买入	中国人寿	100	49.330	4933.000	NS459866	20241108	0	
09:50:34	601628	证券买入	中国人寿	100	49.600	4960.000	NS459727	20241108	0	
09:50:05	601628	证券买入	中国人寿	100	49.430	4943.000	NS459718	20241108	0	
09:47:39	603596	证券买入	伯特利	200	50.830	10166.000	NS459681	20241108	0	
15:00:00	799999	指定交易	指定登记	1	0.000	0.000	NS454698	20241106	-1	
