date,symbol,side,currency,underlying,asset_type,price,quantity,commission,fees,tags,notes,spread_id
2024-12-18T09:37:36+0800,002436,buy,CNY,兴森科技,stock,11.530,1400,0,0,,,002436
2024-12-18T09:32:29+0800,002436,sell,CNY,兴森科技,stock,11.340,1400,0,0,,,002436
2024-12-17T09:57:55+0800,002436,buy,CNY,兴森科技,stock,12.060,1400,0,0,,,002436
2024-12-17T09:57:28+0800,001309,sell,CNY,德明利,stock,86.800,200,0,0,,,001309
2024-12-17T09:55:14+0800,588200,buy,CNY,科创芯片ETF,ETF,1.413,24700,0,0,,,588200
2024-12-17T09:46:34+0800,001309,buy,CNY,德明利,stock,86.200,200,0,0,,,001309
2024-12-17T09:34:11+0800,600506,sell,CNY,统一股份,stock,20.210,100,0,0,,,600506
2024-12-16T13:43:55+0800,002155,sell,CNY,湖南黄金,stock,17.640,2700,0,0,,,002155
2024-12-16T11:26:37+0800,603598,sell,CNY,引力传媒,stock,24.700,100,0,0,,,603598
2024-12-13T13:51:09+0800,588200,buy,CNY,科创芯片ETF,ETF,1.463,37900,0,0,,,588200
2024-12-13T13:40:20+0800,002155,buy,CNY,湖南黄金,stock,18.230,1700,0,0,,,002155
2024-12-13T11:21:44+0800,002456,sell,CNY,欧菲光,stock,13.520,500,0,0,,,002456
2024-12-13T10:08:33+0800,600506,buy,CNY,统一股份,stock,22.720,100,0,0,,,600506
2024-12-13T10:00:36+0800,002155,buy,CNY,湖南黄金,stock,18.270,1000,0,0,,,002155
2024-12-13T09:54:18+0800,603598,buy,CNY,引力传媒,stock,23.370,100,0,0,,,603598
2024-12-13T09:30:33+0800,600506,sell,CNY,统一股份,stock,23.102,4400,0,0,,,600506
2024-12-09T14:33:07+0800,600506,buy,CNY,统一股份,stock,17.300,4400,0,0,,,600506
2024-12-09T11:24:56+0800,600506,sell,CNY,统一股份,stock,17.170,4400,0,0,,,600506
2024-12-06T13:40:50+0800,600506,buy,CNY,统一股份,stock,18.501,3100,0,0,,,600506
2024-12-06T13:40:33+0800,588200,sell,CNY,科创芯片ETF,ETF,1.472,39100,0,0,,,588200
2024-12-06T13:39:59+0800,600506,buy,CNY,统一股份,stock,18.450,300,0,0,,,600506
2024-12-06T10:43:19+0800,588200,buy,CNY,科创芯片ETF,ETF,1.462,28100,0,0,,,588200
2024-12-03T10:33:26+0800,588200,buy,CNY,科创芯片ETF,ETF,1.454,10000,0,0,,,588200
2024-12-03T10:04:02+0800,588200,buy,CNY,科创芯片ETF,ETF,1.464,10000,0,0,,,588200
2024-12-02T14:55:39+0800,588200,sell,CNY,科创芯片ETF,ETF,1.478,10000,0,0,,,588200
2024-12-02T13:10:05+0800,588200,buy,CNY,科创芯片ETF,ETF,1.470,10000,0,0,,,588200
2024-12-02T09:42:46+0800,600506,buy,CNY,统一股份,stock,15.200,1000,0,0,,,600506
2024-11-28T09:38:30+0800,588200,buy,CNY,科创芯片ETF,ETF,1.431,10000,0,0,,,588200
